AT4T28P1 - Pris - 5_5_411_50, tongue movement approx 45k-55k ms
time=27043, red=52390, ir=58342
time=27063, red=52392, ir=58358
time=27083, red=52383, ir=58356
time=27103, red=52385, ir=58359
time=27123, red=52380, ir=58365
time=27143, red=52391, ir=58361
time=27163, red=52386, ir=58383
time=27183, red=52386, ir=58374
time=27203, red=52405, ir=58395
time=27223, red=52406, ir=58390
time=27243, red=52408, ir=58391
time=27263, red=52396, ir=58403
time=27283, red=52403, ir=58404
time=27304, red=52409, ir=58417
time=27324, red=52394, ir=58425
time=27344, red=52404, ir=58430
time=27364, red=52404, ir=58439
time=27384, red=52394, ir=58446
time=27404, red=52410, ir=58441
time=27424, red=52409, ir=58458
time=27444, red=52405, ir=58455
time=27464, red=52415, ir=58464
time=27484, red=52403, ir=58478
time=27504, red=52402, ir=58479
time=27524, red=52397, ir=58481
time=27544, red=52408, ir=58490
time=27564, red=52406, ir=58502
time=27584, red=52400, ir=58506
time=27604, red=52400, ir=58500
time=27624, red=52396, ir=58509
time=27644, red=52403, ir=58514
time=27664, red=52399, ir=58520
time=27684, red=52386, ir=58516
time=27704, red=52384, ir=58511
time=27724, red=52389, ir=58530
time=27744, red=52382, ir=58540
time=27764, red=52392, ir=58534
time=27784, red=52374, ir=58538
time=27804, red=52379, ir=58550
time=27824, red=52376, ir=58534
time=27844, red=52387, ir=58551
time=27864, red=52374, ir=58558
time=27884, red=52370, ir=58570
time=27904, red=52364, ir=58574
time=27924, red=52363, ir=58579
time=27944, red=52370, ir=58581
time=27964, red=52379, ir=58585
time=27984, red=52365, ir=58603
time=28004, red=52365, ir=58580
HR=120, SP=-1
time=28031, red=52375, ir=58600
time=28044, red=52363, ir=58619
time=28064, red=52356, ir=58607
time=28084, red=52361, ir=58617
time=28104, red=52346, ir=58622
time=28124, red=52335, ir=58603
time=28144, red=52347, ir=58594
time=28164, red=52328, ir=58578
time=28184, red=52310, ir=58556
time=28204, red=52314, ir=58538
time=28224, red=52285, ir=58521
time=28244, red=52294, ir=58495
time=28265, red=52284, ir=58474
time=28285, red=52267, ir=58449
time=28305, red=52263, ir=58448
time=28325, red=52264, ir=58437
time=28345, red=52264, ir=58419
time=28365, red=52264, ir=58424
time=28385, red=52267, ir=58423
time=28405, red=52279, ir=58412
time=28425, red=52272, ir=58407
time=28445, red=52272, ir=58399
time=28465, red=52272, ir=58395
time=28485, red=52282, ir=58408
time=28505, red=52279, ir=58407
time=28525, red=52288, ir=58424
time=28545, red=52290, ir=58406
